user_id,active_date,active_month,active_day,total_steps,total_miles,tracker_miles,log_act_miles,very_act_mins,mod_act_mins,light_act_miles,sed_act_miles,very_act_mins.1,fair_act_min,light_act_min,sed_mins,calories,day_of_week
4020332650,2016-03-12,March,Saturday,5543,4.0,4.0,0.0,0.0,0.0,4.0,0.01,0,0,254,757,2990,Saturday
4057192912,2016-03-12,March,Saturday,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,1777,Saturday
4020332650,2016-03-13,March,Sunday,3226,2.3,2.3,0.0,0.0,0.0,2.3,0.0,0,0,136,771,2480,Sunday
4057192912,2016-03-13,March,Sunday,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,1777,Sunday
4020332650,2016-03-14,March,Monday,3023,2.2,2.2,0.0,0.0,0.0,2.1,0.0,0,0,145,1005,2570,Monday
4057192912,2016-03-14,March,Monday,8433,6.2,6.2,0.0,2.5,0.3,3.4,0.0,30,7,135,1268,2453,Monday
4020332650,2016-03-15,March,Tuesday,5906,4.2,4.2,0.0,0.0,0.2,4.0,0.0,0,10,215,874,3016,Tuesday
4057192912,2016-03-15,March,Tuesday,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,1776,Tuesday
4020332650,2016-03-16,March,Wednesday,12483,9.0,9.0,0.0,1.5,0.6,6.9,0.0,25,14,309,599,3830,Wednesday
4057192912,2016-03-16,March,Wednesday,2139,1.6,1.6,0.0,0.0,1.3,0.3,0.0,0,28,15,1397,1935,Wednesday
4020332650,2016-03-17,March,Thursday,8940,6.4,6.4,0.0,0.0,0.0,0.6,0.039999999,0,0,47,986,3706,Thursday
4057192912,2016-03-17,March,Thursday,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,1776,Thursday
4020332650,2016-03-18,March,Friday,368,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,2024,Friday
4057192912,2016-03-18,March,Friday,949,0.7,0.7,0.0,0.0,0.0,0.7,0.0,0,0,34,1406,1870,Friday
4020332650,2016-03-19,March,Saturday,5702,4.1,4.1,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,2980,Saturday
4057192912,2016-03-19,March,Saturday,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,1777,Saturday
4020332650,2016-03-20,March,Sunday,10330,7.4,7.4,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,3728,Sunday
4057192912,2016-03-20,March,Sunday,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,1438,1782,Sunday
4020332650,2016-03-21,March,Monday,8778,6.3,6.3,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,3348,Monday
4057192912,2016-03-21,March,Monday,2660,1.9,1.9,0.0,0.0,0.0,1.9,0.0,0,0,46,1394,1978,Monday
4020332650,2016-03-22,March,Tuesday,6662,4.8,4.8,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,3162,Tuesday
4057192912,2016-03-22,March,Tuesday,5561,4.2,4.2,0.0,0.0,0.0,4.1,0.0,0,0,169,1271,2296,Tuesday
4020332650,2016-03-23,March,Wednesday,6309,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,3140,Wednesday
4057192912,2016-03-23,March,Wednesday,7239,5.3,5.3,0.0,0.6,0.4,4.4,0.0,7,7,190,1236,2484,Wednesday
4020332650,2016-03-24,March,Thursday,1951,1.4,1.4,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,1980,Thursday
4057192912,2016-03-24,March,Thursday,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1439,1787,Thursday
1503960366,2016-03-25,March,Friday,11004,7.1,7.1,0.0,2.6,0.5,4.1,0.0,33,12,205,804,1819,Friday
1624580081,2016-03-25,March,Friday,1810,1.2,1.2,0.0,0.0,0.0,1.1,0.01,0,0,121,1319,1373,Friday
4020332650,2016-03-25,March,Friday,5563,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,3681,Friday
4057192912,2016-03-25,March,Friday,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,1776,Friday
1503960366,2016-03-26,March,Saturday,17609,11.6,11.6,0.0,6.9,0.7,3.9,0.0,89,17,274,588,2154,Saturday
1624580081,2016-03-26,March,Saturday,815,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0,0,47,1393,1264,Saturday
4020332650,2016-03-26,March,Saturday,4370,3.1,3.1,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,3444,Saturday
4057192912,2016-03-26,March,Saturday,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,1776,Saturday
1503960366,2016-03-27,March,Sunday,12736,8.5,8.5,0.0,4.7,0.2,3.7,0.0,56,5,268,605,1944,Sunday
1624580081,2016-03-27,March,Sunday,1985,1.3,1.3,0.0,0.0,0.0,1.3,0.01,0,0,112,1328,1350,Sunday
4020332650,2016-03-27,March,Sunday,7144,5.1,5.1,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,3510,Sunday
4057192912,2016-03-27,March,Sunday,2275,1.7,1.7,0.0,0.0,0.0,1.7,0.0,0,0,86,1354,2005,Sunday
1503960366,2016-03-28,March,Monday,13231,8.9,8.9,0.0,3.2,0.8,4.9,0.0,39,20,224,1080,1932,Monday
1624580081,2016-03-28,March,Monday,1905,1.2,1.2,0.0,0.0,0.0,1.2,0.0,0,0,95,1345,1342,Monday
4020332650,2016-03-28,March,Monday,2106,1.5,1.5,0.0,0.0,0.1,0.2,0.0,31,45,75,1289,4010,Monday
4057192912,2016-03-28,March,Monday,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1439,1778,Monday
1503960366,2016-03-29,March,Tuesday,12041,7.8,7.8,0.0,2.2,1.1,4.6,0.0,28,28,243,763,1886,Tuesday
1624580081,2016-03-29,March,Tuesday,1552,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0,66,1374,1300,Tuesday
2347167796,2016-03-29,March,Tuesday,10272,6.8,6.8,0.0,0.2,3.1,3.5,0.0,2,58,208,700,2041,Tuesday
2891001357,2016-03-29,March,Tuesday,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,1920,Tuesday
4020332650,2016-03-29,March,Tuesday,4152,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0,0,187,1253,2976,Tuesday
